"question_id","grade","type_id","format","asset_src","sha256","source_name"
"src-pnl12ch1-visual-b1-c02","12","type-kntt-12-01-03","TN","/question-assets/source/pnl-12-ch1-b1d1/image224.png","10e9d015acb38418db489ebb2cd29e9748d9c0e553698fd7aa2643d398cfd397","Phan Nhật Linh - Chương 1 lớp 12 (bản GV)"
"src-pnl12ch1-visual-b1-c03","12","type-kntt-12-01-03","TN","/question-assets/source/pnl-12-ch1-b1d1/image231.png","82aadd1c130ec888b213104ef599fdbb7791d1397a601929d73cd9d6f7686c19","Phan Nhật Linh - Chương 1 lớp 12 (bản GV)"
"src-pnl12ch1-visual-b1-c05","12","type-kntt-12-01-03","TN","/question-assets/source/pnl-12-ch1-b1d1/image246.png","76ae2b61566b566957df35260fbc2374ae175683b15afc107879ef6912a73c67","Phan Nhật Linh - Chương 1 lớp 12 (bản GV)"
"src-pnl12ch1-visual-b1-c12","12","type-kntt-12-01-03","TN","/question-assets/source/pnl-12-ch1-b1d1/image310.png","509b2f95098225f2b7aa5c1e1e52f09b465183ff0fc6fd6468365aad0cf97698","Phan Nhật Linh - Chương 1 lớp 12 (bản GV)"
"src-pnl12ch1-visual-b1-c14","12","type-kntt-12-01-03","TN","/question-assets/source/pnl-12-ch1-b1d1/image329.png","ee255ed94452a67f53f78eaf5aaff0ab88503e45b53be5ef51139a41dc735436","Phan Nhật Linh - Chương 1 lớp 12 (bản GV)"
"src-pnl12ch1-visual-b1-c35","12","type-kntt-12-01-03","TN","/question-assets/source/pnl-12-ch1-b1d1/image533.png","01357dfb70cfde57a2bb14ab0f3375da4a2a89a0eefdff143552c3004e85252a","Phan Nhật Linh - Chương 1 lớp 12 (bản GV)"
"src-pnl12ch1-visual-b1-c36","12","type-kntt-12-01-03","TN","/question-assets/source/pnl-12-ch1-b1d1/image538.png","80516feb9b8a14e88a5b818a9cec4b304db0824ec29381e10562799db4adb89d","Phan Nhật Linh - Chương 1 lớp 12 (bản GV)"
"src-pnl12ch1-visual-b1-short-c06","12","type-kntt-12-01-03","TLN","/question-assets/source/pnl-12-ch1-b1d1/image750.png","e311c8ebf4a6c0752c9095db30fcd3ee9950f9a94c83cdbead646e0647c3ac76","Phan Nhật Linh - Chương 1 lớp 12 (bản GV)"
"src-pnl12ch1-visual-b4-de04-c01","12","type-kntt-12-04-01","TN","/question-assets/source/pnl-12-ch1-de04-b4/image1.png","7f7e387e0e499910b2897bd2d50d67817c49d23397b3aa634a5ffd17e45133b4","Phan Nhật Linh - Chương 1 lớp 12 (bản GV)"
"src-pnl12ch1-visual-b4-de04-c02","12","type-kntt-12-04-02","TN","/question-assets/source/pnl-12-ch1-de04-b4/image9.png","b37b1a5286d2e1e5aa43d0797876fefa5f18ec119acb623c5624cd1927cf2f15","Phan Nhật Linh - Chương 1 lớp 12 (bản GV)"
"src-pnl12ch1-visual-b4-de04-c03","12","type-kntt-12-04-01","TN","/question-assets/source/pnl-12-ch1-de04-b4/image22.png","eb3332c57653ff78dd6f98ab6980ba799a0c339306cc1c93bf1a32c7e484fad6","Phan Nhật Linh - Chương 1 lớp 12 (bản GV)"
"src-pnl12ch1-visual-b4-de04-c04","12","type-kntt-12-04-02","TN","/question-assets/source/pnl-12-ch1-de04-b4/image31.png","dafc2956ebb1a0b5ae1077da5663490b6aaee12c0e864ac80343194d294a9f8d","Phan Nhật Linh - Chương 1 lớp 12 (bản GV)"
"src-pnl12ch1-visual-b4-de04-c05","12","type-kntt-12-04-03","TN","/question-assets/source/pnl-12-ch1-de04-b4/image51.png","5b9e88538cabba8706e29ebaed424bdae9d2709f7345ae201ae458dadb5e9180","Phan Nhật Linh - Chương 1 lớp 12 (bản GV)"
"src-pnl12ch1-visual-b4-de04-c06","12","type-kntt-12-04-01","TN","/question-assets/source/pnl-12-ch1-de04-b4/image59.png","6231b68b7107c649da07278f317745087a136d2f1834adf172b80dd0ca4a9f93","Phan Nhật Linh - Chương 1 lớp 12 (bản GV)"
"src-pnl12ch1-visual-b5-c11","12","type-kntt-12-05-01","TN","/question-assets/source/pnl-12-ch1-b5d2/image279.png","602187f81260b930007e7eac5ef2df13f58cdf5de8e17e23bb050d0acbed8467","Phan Nhật Linh - Chương 1 lớp 12 (bản GV)"
"src-pnl12ch1-visual-b5-c12","12","type-kntt-12-05-04","TN","/question-assets/source/pnl-12-ch1-b5d2/image292.png","e5c87fcc133a8fc07a5615df7b257fe58f38c1a371f437f6d4b5717eabf0675f","Phan Nhật Linh - Chương 1 lớp 12 (bản GV)"
"src-pnl12ch1-visual-b5-ds-rowing","12","type-kntt-12-05-03","DS","/question-assets/source/pnl-12-ch1-b5d2/image406.png","89f9200fec0e805037bbd574ffa4c2b0ef584079ff1bd7369cf8b422bc67d5eb","Phan Nhật Linh - Chương 1 lớp 12 (bản GV)"
"src-pnl12b8-c1-asym-159","12","type-kntt-12-03-01","TLN","/question-assets/source/pnl-12-b8-c1-asymptote/image159.png","1984a2e513ad2dcdc46cfd72e2f3ce068dd6e6051e655d60803808ad3e932175","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c1-asym-166","12","type-kntt-12-03-01","TLN","/question-assets/source/pnl-12-b8-c1-asymptote/image166.png","c18e1013d4f480662d08b82c6343e7df4980f66603205445e709d33f092074df","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c1-asym-175","12","type-kntt-12-03-02","TLN","/question-assets/source/pnl-12-b8-c1-asymptote/image175.png","940d15557fdf3f263e979e73ff012d37f101af796438d5bc73d51dee9546333e","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c1-asym-184","12","type-kntt-12-03-01","TLN","/question-assets/source/pnl-12-b8-c1-asymptote/image184.png","68737b4c140902ee046d619f00cbb25d15f97b033c0831e6dfc857a554675135","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c1-asym-194","12","type-kntt-12-03-02","TLN","/question-assets/source/pnl-12-b8-c1-asymptote/image194.png","ef99b05eedc007ac16dac244a974a5cc7a4d977ecef6cfe12686ff953a83922a","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c3-range-92","12","type-kntt-12-09-01","TLN","/question-assets/source/pnl-12-b8-c3-range/image92.png","4b388c0d7c0cd4547b6a6f5ff6df45ad7e02da48ec6688d1f885fc565efee289","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c3-range-94","12","type-kntt-12-09-01","TLN","/question-assets/source/pnl-12-b8-c3-range/image94.png","35668953df3727dfd8be82a265805e7e25195728ae439bd623896ff47dfb4f49","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c3-range-96","12","type-kntt-12-09-01","TLN","/question-assets/source/pnl-12-b8-c3-range/image96.png","8d58af12ca208782b8f03f9ce5ee9077ea52b8adf2f4c58f71ee3ef66a596713","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c3-range-99","12","type-kntt-12-09-01","TLN","/question-assets/source/pnl-12-b8-c3-range/image99.png","da27af4e0de6b27f8aa8d421b35eb8ccc57c3ae433af218daf25ac0261320276","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c3-range-101","12","type-kntt-12-09-01","TLN","/question-assets/source/pnl-12-b8-c3-range/image101.png","4bee8cd967e9b77598b7d78bb786343b88da4f907839576fce674ed9fef20ffd","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c3-range-109","12","type-kntt-12-09-01","TLN","/question-assets/source/pnl-12-b8-c3-range/image109.png","77fcebc7bbc0d1c071d2ceaee2393f5629c8dae81a4598136c8d83a03ba8a588","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c3-range-111","12","type-kntt-12-09-01","TLN","/question-assets/source/pnl-12-b8-c3-range/image111.png","17aa5fbefd43ab70cac65c372285d972c653b060179d681e46851b0f548cc78f","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c3-range-113","12","type-kntt-12-09-01","TLN","/question-assets/source/pnl-12-b8-c3-range/image113.png","015137fd3e82e6d7fdef0bef3f753cc760d5480e15015a35087428fbec43c2f8","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
"src-pnl12b8-c3-stat-411","12","type-kntt-12-10-02","TLN","/question-assets/source/pnl-12-b8-c3-variance/image411.png","28043dad0482c7871c03703cd1e00a45e3e712f87fb33688fe932bc778d14dce","Phan Nhật Linh - Bộ 8 lớp 12 KNTT (2024-2025)"
