id	type_id	field	before	after
src-pnl-5128e4836aa788	type-kntt-11-07-02	QUESTION	Vào năm con gái được 4 tuổi, một người chuẩn bị gửi tiết kiệm đầu mỗi năm một số tiền x (triệu đồng) ( x \in ) để đến năm 18 tuổi sẽ có được 200 triệu cho con gái đi học đại học. Hiện tại lãi suất tiền gửi hàng năm là 4, 8% /năm. Giả sử lãi suất này được giữ ổn định. Xét tính đúng sai của các khẳng định sau:	Vào năm con gái được 4 tuổi, một người chuẩn bị gửi tiết kiệm đầu mỗi năm một số tiền x (triệu đồng) để đến năm 18 tuổi sẽ có được 200 triệu cho con gái đi học đại học. Hiện tại lãi suất tiền gửi hàng năm là 4, 8% /năm. Giả sử lãi suất này được giữ ổn định. Xét tính đúng sai của các khẳng định sau:
src-pnl-f62b649539cac7	type-kntt-11-07-01	QUESTION	Cho dãy số tăng a, b, c ( c \in ) theo thứ tự lập thành cấp số nhân; đồng thời a, b + 8, c theo\nthứ tự lập thành cấp số cộng và a, b + 8, c + 64 theo thứ tự lập thành cấp số nhân. Tính giá trị\nbiểu thức P = a - b + 2c.	Cho dãy số tăng a, b, c theo thứ tự lập thành cấp số nhân; đồng thời a, b + 8, c theo\nthứ tự lập thành cấp số cộng và a, b + 8, c + 64 theo thứ tự lập thành cấp số nhân. Tính giá trị\nbiểu thức P = a - b + 2c.
src-pnl-5cbecf896800f6	type-kntt-11-06-02	QUESTION	Một cấp số cộng có tổng của n số hạng đầu $S_n$ tính theo công thức $S_n=5n^2+3n$, ( $n\in\mathbb N^*$ ). Tìm số hạng đầu u1 và công sai d của cấp số cộng đó.	Một cấp số cộng có tổng của n số hạng đầu $S_n$ tính theo công thức $S_n=5n^2+3n$, ( $n\in\mathbb N^*$ ). Tìm số hạng đầu $u_{1}$ và công sai d của cấp số cộng đó.
src-pnl-46244d92bf9821	type-kntt-12-08-02	QUESTION	Trong không gian Oxyz, cho $\vec u=(1, 2, 3)$, $\vec v=(0,-1, 1)$. Tìm tọa độ của véctơ tích có hướng của hai véctơ $\vec{u}$ và v.	Trong không gian Oxyz, cho $\vec u=(1, 2, 3)$, $\vec v=(0,-1, 1)$. Tìm tọa độ của véctơ tích có hướng của hai véctơ $\vec{u}$ và $\vec{v}$.
src-pnl-dbf02cddd1aba4	type-kntt-12-08-02	QUESTION	Trong không gian Oxyz, cho hai vectơ $\vec{u}$ ( -1; 3; 2 ) và $\vec v=(-3,-1, 2)$. Tích vô hướng của $\vec u\cdot\vec v$ bằng	Trong không gian Oxyz, cho hai vectơ $\vec u=(-1, 3, 2)$ và $\vec v=(-3,-1, 2)$. Tích vô hướng của $\vec u\cdot\vec v$ bằng
src-pnl-995e4f2771ec24	type-kntt-12-08-02	QUESTION	Trong không gian với hệ trục tọa độ O xyz, cho hai vectơ $\vec a=(3,-2, m)$, $\vec b=(2, m,-1)$ với m là tham số nhận giá trị thực. Tìm giá trị của m để hai vectơ $\vec{a}$ và b vuông góc với nhau.	Trong không gian với hệ trục tọa độ O xyz, cho hai vectơ $\vec a=(3,-2, m)$, $\vec b=(2, m,-1)$ với m là tham số nhận giá trị thực. Tìm giá trị của m để hai vectơ $\vec{a}$ và $\vec{b}$ vuông góc với nhau.
src-pnl-97bfcc81786928	type-kntt-12-08-02	QUESTION	Cho hai vectơ $\vec{a}$ và b tạo với nhau một góc $60^\circ$ và $|\vec a|=2$; $|\vec b|=4$. Khi đó $|\vec a+\vec b|$ bằng	Cho hai vectơ $\vec{a}$ và $\vec{b}$ tạo với nhau một góc $60^\circ$ và $|\vec a|=2$; $|\vec b|=4$. Khi đó $|\vec a+\vec b|$ bằng
src-pnl-6283115584468a	type-kntt-12-08-02	QUESTION	Trong không gian Oxyz, cho hai vec $\vec{u}$ ( -2; 1; 5 ) và $\vec v=(m-2, 3, m+1)$, m là tham số. Tìm m để u vuông góc với v.	Trong không gian Oxyz, cho hai vec $\vec u=(-2, 1, 5)$ và $\vec v=(m-2, 3, m+1)$, m là tham số. Tìm m để u vuông góc với v.
src-pnl-d33d62d1de0a8e	type-kntt-12-08-03	QUESTION	Trong không gian với hệ trục tọa độ Oxyz, cho tứ diện ABCD có A ( 2; -1; 1), B ( 3; 0; -1),\nC ( 2; -1; 3), D \in Oy và thể tích tứ diện ABCD bằng 5. Tổng tung độ của các điểm D thỏa mãn\nyêu cầu bài toán bằng	Trong không gian với hệ trục tọa độ Oxyz, cho tứ diện ABCD có A ( 2; -1; 1), B ( 3; 0; -1),\nC ( 2; -1; 3), $D\in Oy$ và thể tích tứ diện ABCD bằng 5. Tổng tung độ của các điểm D thỏa mãn\nyêu cầu bài toán bằng
src-pnl-ca19d965f61d42	type-kntt-12-06-02	QUESTION	Trong không gian, cho tứ diện ABCD có các điểm M, N, P lần lượt thuộc các cạnh BC, BD và\nAC sao cho $BC=4BM$, $AC=3AP$, $BD=2BN$. Mặt phẳng ( MNP ) cắt đường thẳng AD tại\nđiểm Q. Tính tỉ số $\dfrac{AQ}{AD}.	Trong không gian, cho tứ diện ABCD có các điểm M, N, P lần lượt thuộc các cạnh BC, BD và\nAC sao cho $BC=4BM$, $AC=3AP$, $BD=2BN$. Mặt phẳng ( MNP ) cắt đường thẳng AD tại\nđiểm Q. Tính tỉ số $\dfrac{AQ}{AD}$.
src-pnl-c2bab10d80b39b	type-kntt-12-06-02	QUESTION	Trong không gian, cho tứ diện S. ABC có $SA=SB=SC=AB=AC=2$, $BC=2\sqrt2$. Hãy tính $\vec{SC}\cdot\vec{AB}.	Trong không gian, cho tứ diện S. ABC có $SA=SB=SC=AB=AC=2$, $BC=2\sqrt2$. Hãy tính $\vec{SC}\cdot\vec{AB}$.
src-pnl-cabd1f16a7cf96	type-kntt-12-07-01	QUESTION	Trong không gian với hệ trục tọa độ Oxyz cho hai vector $\vec{a}$ (1; 1; -2 ), $\vec b=(-2, 1, 4)$. Tìm tọa độ của vector $\vec u=\vec a-2\vec b$.	Trong không gian với hệ trục tọa độ Oxyz cho hai vector $\vec a=(1, 1,-2)$, $\vec b=(-2, 1, 4)$. Tìm tọa độ của vector $\vec u=\vec a-2\vec b$.
